City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bairnsdale,-37.8333,147.6167,8.36,95,100,1.04,AU,1685740746
1,edinburgh of the seven seas,-37.0676,-12.3116,13.89,66,73,7.09,SH,1685740747
2,kahla,50.8,11.5833,13.3,73,67,2.58,DE,1685740747
3,bilibino,68.0546,166.4372,7.4,44,98,5.85,RU,1685740748
4,port lincoln,-34.7333,135.8667,15.13,57,100,2.4,AU,1685740748
5,puerto ayora,-0.7393,-90.3518,28.98,88,80,4.02,EC,1685740748
6,tarakan,3.3,117.6333,26.72,94,40,1.03,ID,1685740749
7,jamestown,42.097,-79.2353,29.77,34,0,6.17,US,1685740487
8,cidreira,-30.1811,-50.2056,19.49,79,0,4.98,BR,1685740749
9,taksimo,56.3444,114.8794,10.84,76,91,0.73,RU,1685740750
10,portland,45.5234,-122.6762,25.29,42,20,2.57,US,1685740707
11,limassol,34.675,33.0333,22.04,78,0,2.57,CY,1685740751
12,bredasdorp,-34.5322,20.0403,13.39,63,33,3.87,ZA,1685740751
13,brazzaville,-4.2658,15.2832,24.35,86,18,2.12,CG,1685740751
14,guerrero negro,27.9769,-114.0611,19.83,59,2,9.09,MX,1685740752
15,nuuk,64.1835,-51.7216,4.34,75,20,6.17,GL,1685740752
16,waitangi,-43.9535,-176.5597,11.57,85,0,6.91,NZ,1685740753
17,papatowai,-46.5619,169.4708,8.12,81,73,5.19,NZ,1685740753
18,puerto natales,-51.7236,-72.4875,1.67,94,2,1.6,CL,1685740753
19,rongelap,11.1635,166.8941,27.24,83,100,6.81,MH,1685740754
20,lebu,-37.6167,-73.65,13.12,84,20,7.3,CL,1685740754
21,adamstown,-25.066,-130.1015,23.66,83,82,6.47,PN,1685740755
22,tam ky,15.5667,108.4833,25.28,88,34,2.01,VN,1685740755
23,olonkinbyen,70.9221,-8.7187,-0.18,89,100,6.19,SJ,1685740755
24,ciutadella,40.0011,3.8414,18.45,79,2,2.47,ES,1685740756
25,avarua,-21.2078,-159.775,24.03,64,75,2.57,CK,1685740756
26,port-aux-francais,-49.35,70.2167,4.86,80,43,14.16,TF,1685740757
27,ciudad lazaro cardenas,17.9583,-102.2,30.76,51,0,5.38,MX,1685740757
28,enewetak,11.3474,162.3373,27.51,82,100,6.66,MH,1685740757
29,mulayjah,27.271,48.4242,31.95,16,22,5.91,SA,1685740758
30,bethel,41.3712,-73.414,26.99,79,20,1.54,US,1685740662
